sample_frac,from_var,to_var,edge_type,edge_str,freq
0.5,light_std_tm1,light_std_t,directed,light_std_tm1 -> light_std_t,1.0
0.5,rem_mean_tm1,rem_mean_t,directed,rem_mean_tm1 -> rem_mean_t,1.0
0.5,rem_mean_tm1,rem_std_t,directed,rem_mean_tm1 -> rem_std_t,0.419
0.5,awake_std_tm1,rem_std_tm1,directed,awake_std_tm1 -> rem_std_tm1,0.595
0.5,rem_std_tm1,rmssd_std_t,directed,rem_std_tm1 -> rmssd_std_t,0.996
0.5,rem_std_tm1,rem_std_t,directed,rem_std_tm1 -> rem_std_t,1.0
0.5,awake_mean_tm1,awake_mean_t,directed,awake_mean_tm1 -> awake_mean_t,1.0
0.5,awake_std_tm1,breath_average_mean_t,directed,awake_std_tm1 -> breath_average_mean_t,0.312
0.5,awake_std_tm1,awake_std_t,directed,awake_std_tm1 -> awake_std_t,1.0
0.5,promis_dep_sum_t,promis_anx_sum_t,directed,promis_dep_sum_t -> promis_anx_sum_t,0.277
0.5,promis_dep_sum_t,rem_std_t,directed,promis_dep_sum_t -> rem_std_t,0.295
0.5,light_mean_t,promis_anx_sum_t,directed,light_mean_t -> promis_anx_sum_t,0.006
0.5,rmssd_mean_t,hr_average_mean_t,directed,rmssd_mean_t -> hr_average_mean_t,0.244
0.5,breath_average_mean_t,hr_average_mean_t,directed,breath_average_mean_t -> hr_average_mean_t,0.491
0.5,hr_lowest_mean_t,hr_average_mean_t,directed,hr_lowest_mean_t -> hr_average_mean_t,0.117
0.5,breath_v_average_mean_t,hr_average_mean_t,directed,breath_v_average_mean_t -> hr_average_mean_t,0.13
0.5,temperature_trend_deviation_mean_t,hr_average_mean_t,directed,temperature_trend_deviation_mean_t -> hr_average_mean_t,0.432
0.5,efficiency_mean_t,hr_average_mean_t,directed,efficiency_mean_t -> hr_average_mean_t,0.098
0.5,rmssd_std_t,hr_average_std_t,directed,rmssd_std_t -> hr_average_std_t,0.996
0.5,hr_average_std_t,breath_average_std_t,directed,hr_average_std_t -> breath_average_std_t,0.359
0.5,hr_average_std_t,hr_lowest_std_t,directed,hr_average_std_t -> hr_lowest_std_t,0.257
0.5,breath_v_average_std_t,hr_average_std_t,directed,breath_v_average_std_t -> hr_average_std_t,0.703
0.5,temperature_deviation_std_t,hr_average_std_t,directed,temperature_deviation_std_t -> hr_average_std_t,0.963
0.5,onset_latency_std_t,hr_average_std_t,directed,onset_latency_std_t -> hr_average_std_t,0.724
0.5,hr_lowest_mean_t,rmssd_mean_t,directed,hr_lowest_mean_t -> rmssd_mean_t,0.838
0.5,rmssd_mean_t,deep_mean_t,directed,rmssd_mean_t -> deep_mean_t,0.436
0.5,rem_mean_t,rmssd_mean_t,directed,rem_mean_t -> rmssd_mean_t,0.669
0.5,temperature_trend_deviation_std_t,rmssd_std_t,directed,temperature_trend_deviation_std_t -> rmssd_std_t,0.286
0.5,deep_std_t,rmssd_std_t,directed,deep_std_t -> rmssd_std_t,0.232
0.5,hr_lowest_mean_t,breath_average_mean_t,directed,hr_lowest_mean_t -> breath_average_mean_t,0.976
0.5,temperature_trend_deviation_mean_t,breath_average_mean_t,directed,temperature_trend_deviation_mean_t -> breath_average_mean_t,0.845
0.5,temperature_trend_deviation_std_t,breath_average_mean_t,directed,temperature_trend_deviation_std_t -> breath_average_mean_t,0.152
0.5,rem_mean_t,breath_average_mean_t,directed,rem_mean_t -> breath_average_mean_t,0.929
0.5,breath_average_std_t,breath_v_average_std_t,directed,breath_average_std_t -> breath_v_average_std_t,0.188
0.5,breath_average_std_t,temperature_deviation_std_t,directed,breath_average_std_t -> temperature_deviation_std_t,0.137
